id,Metronome,Adj Close,Survey,Disturbance,NewsTitle,NewsDetails,NewsCategory,NewsTimeout
1,5,145.515335,,,,,,
2,1,146.568648404736,,,,,,
3,1,147.514378924112,,,,,,
4,3,150.187236941911,,,,,,
5,5,148.731062473211,,,,,,
6,2,149.280516607729,,,,,,
7,1,148.571600348584,,,,,,
8,5,148.879421451593,,,,,,
9,5,152.775274112332,,,,,,
10,2,152.227897860078,,,,,,
11,3,152.489543713277,,,,,,
12,5,154.391632735603,,,,,,
13,1,155.361547098923,,,,,,
14,5,155.041689778055,,,,,,
15,2,155.997350731623,,,,,,
16,3,157.579844680253,,,,,,
17,3,158.340278863944,,,,,,
18,1,159.460857111455,,,,,,
19,5,173.596230317343,,,,,,
20,3,175.087021823954,,,,,,
21,2,176.360198326749,,,,,,
22,1,177.91319946667,,,,,,
23,5,182.296014103775,,,,,,
24,1,180.558982656638,,,,,,
25,2,181.651821781752,,,,,,
26,4,181.547565928918,,,,,,
27,2,180.42389738964,,,,,,
28,3,183.679036817811,,,,,,
29,1,183.262032431496,,,,,,
30,3,183.632743865675,,,,,,
31,3,185.810545756749,,,,,,
32,2,186.459267302369,,,,,,
33,2,187.884150138389,,,,,,
34,5,189.853421298772,,,,,,
35,1,189.575392162309,,,,,,
36,2,188.718179204377,,,,,,
37,1,190.942332390987,,,,,,
38,4,188.602368821447,,,,,,
39,4,186.355011449535,,,,,,
40,5,187.594528421786,,,,,,
41,3,185.903209029444,,,,,,
42,5,186.540337994924,,,,,,
43,4,184.675303662354,,,,,,
44,3,186.714111278553,,,,,,
45,3,183.609539680374,,,,,,
46,2,186.239182041583,,,North Pole could contain 5000 years worth of oil,-,Science,10
47,5,182.810250304761,,,,,,
48,2,181.640229201612,,,,,,
49,4,183.007188455312,,,Donald TRUMP running for another term,-,Polititcs,10
50,4,178.721042492224,,,China :Toughest winter since 1856,-,Macro,10
51,5,181.964570315233,,,Angela Merkel steps down,-,Politics,10
52,5,181.825557015336,,,Peugeot showing outstanding performance in Q3,-,Company,10
53,4,185.127085789088,,,Apple to stop producing iPads,-,Company,10
54,5,185.127085789088,,,Kering : best quarter since Q1 2015,-,Company,10
55,4,188.68342048898,,,Japan : Racoons are invading 1000 years old monastries,-,Macro,10
56,1,190.710673575083,,,,,,
57,2,188.822395738832,,,Kazaksthan is building a new oil pipe to russia,-,Macro,10
58,2,184.42045968617,,,,,,
59,3,186.030611992513,,,,,,
60,1,185.810545756749,,,Shell CEO steps down amid blackmail scandal,-,Company,10
61,1,188.440169092936,,,VW to pay $1bn fine to european consumers,-,Company,10
62,4,185.926433508102,,,Adidas to produce sneakers from ocean waste ,-,Company,10
63,4,184.397293550913,,,Russia : Moscow drops visa obligations for foregin workers,-,Politics,10
64,5,185.868451582381,,,Music : Eminem to perform in Mumbai next july,-,Entertainement,10
65,4,187.710397148117,,,Michelin annonces best in classe eco-tires,-,Company,10
66,5,187.745116545135,,,,,,
67,1,187.490292862309,,,,,,
68,4,188.057865078616,,,,,,
69,1,188.660273378744,,,,,,
70,2,188.104254424197,,,,,,
71,2,188.011553101459,,,,,,
72,1,190.131469460257,,,France to lower VAT to 8%,,Politics,10
73,5,188.973021912225,,,"_______ __________ __________ ____+ _ ________ ________ 120% (_________ __ ____:
http://tass.ru/ekonomika/4666579)","______, ___________ _ __________ __ __________ ______ _____ ____+, __ ______ _______ 2017 ____ _________ _____________ __ 120%. __ ____ ________ _ _______ _____-______ ____.
""_______ __________ __________ _____ ____ _ __-____ _ ________ 2017 ____ ______ 120%"", - _________ _ _________.
____________ ______________ _______ ____ _________ _______ __ _________, _______ ______ __ _______ ______________ _____ _____.
""___ _____ __ __________ __________ __________ ________ _________"", - ____________ _ _____-______.
_________ _______ _____________ _______________ ________ _________ __ 29 ______ - __ ____ __ ________ ___________ _ ____, __ _______, ___ _________, _____ ___________ ______ _ _________ _________ ______ __ ___________ ______ _____ _____ _____ 2018 ____.


",Macro,10
74,5,186.123314583587,,,,,,
75,2,192.483063659981,,,,,,
76,4,190.282057583606,,,,,,
77,4,191.55629522121,,,,,,
78,4,197.209418194686,,,,,,
79,3,196.676546350375,,,,,,
80,4,197.77701070435,,,,,,
81,4,201.472378997495,,,,,,
82,5,202.028437270421,,,,,,
83,3,198.425751274993,,,,,,
84,5,201.182777574249,,,Sprint's Merger Talks With T-Mobile Are in Peril (Source : Bloomberg),-,Markets,10
85,1,201.53030384815,,,,,,
86,4,200.499336631611,,,,,,
87,1,198.480075323129,,,,,,
88,5,199.57721156657,,,,,,
89,3,201.549772787443,,,,,,
90,2,199.728941191246,,,,,,
91,3,199.063653924706,risks,,,,,
92,5,201.082894939831,,,,,,
93,4,203.148815749208,,,,,,
94,5,202.226750295903,,,,,,
95,3,201.993291712907,,,,,,
96,2,202.483528482668,,,,,,
97,1,202.810346654167,,,,,,
98,4,202.320128909429,,,,,,
99,1,201.012875248453,,,,,,
100,2,198.573436179968,,,,,,
101,3,200.756076768331,,,,,,
102,4,200.417626698313,,,,,,
103,5,198.013178450495,,,,,,
104,5,198.631804947805,,,,,,
105,1,198.013178450495,,,,,,
106,5,198.328346966788,,,,,,
107,5,196.530836242695,,,,,,
108,2,195.387039230024,,,,,,
109,3,192.127954257309,,,,,,
110,3,193.781457032812,,,,,,
111,2,191.409021892022,,,Gazprom says more than half of Power of Siberia pipeline ready (Source : http://tass.com),Russia’s top gas producer Gazprom has built 1095 kilometers of the Power of Siberia natural gas pipeline,Macro,10
112,5,190.59433039717,,,,,,
113,2,191.768537551201,,,,,,
114,3,193.014624921506,,,Industry : Tesla to build the largest ever automotive factory,-,Industry,10
115,2,192.858826079116,,,France's nuclear supplies won't be enough to make it through winter,-,Macro,10
116,4,194.092993522974,,,,,,
117,5,190.162974884062,,,,,,
118,5,188.832970189713,,,,,,
119,5,189.192385593748,,,,,,
